companycode	account	profitcenter	businessarea	tradingpartner	costcenter	ledger	accountdescription	fiscalyear	period	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt
1000	211000	200010101				0L	TRADE PAYABLES- DOMESTIC	2019	9	INR	0	USD	-318.15	CHF	-315
1000	211000	200010101				0L	TRADE PAYABLES- DOMESTIC	2019	9	INR	0	USD	-119.46	INR	-5580
1000	211000	200010101				0L	TRADE PAYABLES- DOMESTIC	2019	9	INR	0	USD	-281012.69	USD	-281012.69
1000	211000	200010101	1			0L	TRADE PAYABLES- DOMESTIC	2019	9	INR	0	USD	-1100	USD	-1100
1000	213000	200010101				0L	ACCOUNTS PAYABLE - INTERCOMPANY	2019	9	INR	0	USD	12	GBP	200
1000	213000	200010101				0L	ACCOUNTS PAYABLE - INTERCOMPANY	2019	9	INR	0	USD	-34784	USD	-43546
2000	20000	200010101				0L	PAYABLES - SWITZERLAND	2019	9	INR	-43188.69	CHF	-42772.13	CHF	-42772.13
2000	20000	200010101				0L	PAYABLES - SWITZERLAND	2019	9	INR	-2441.43	CHF	-2423.93	USD	-2423.93
2000	20001	200010101				0L	ONE-TIME ACCOUT PAYABLES - SWITZERLAND	2019	9	INR	-2020	CHF	-2000	CHF	-2000
2000	20001	200010101	1			0L	ONE-TIME ACCOUT PAYABLES - SWITZERLAND	2019	9	INR	-10100	CHF	-10000	CHF	-10000
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	0	CHF	0	INR	0
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	-1136882.28	CHF	-1342910.1	CHF	-1342910.1
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	-1021.91	CHF	-145821.25	USD	-91461.05
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	-1558434.02	CHF	-1544326	CHF	-1544326
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	-163.41	CHF	-162.69	EUR	-107.03
2000	20010	200010101				0L	FOREIGN PAYABLES	2019	9	INR	-884689.06	CHF	-880131.52	USD	-880131.52
2000	20010	200010101	1			0L	FOREIGN PAYABLES	2019	9	INR	-6973.26	CHF	-6939	CHF	-6939
2000	20010	200010101	1			0L	FOREIGN PAYABLES	2019	9	INR	-581.81	CHF	-579.25	USD	-579.25
