companycode	account	assetnumber	ledger	accountdescription	fiscalyear	period	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt
1000	160010	10000	0L	BUILDINGS	2020	1	INR	0	USDN	145000	USDN	145000
1000	170010	10000	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	8941.67-	USDN	8941.67-
1000	160010	10001	0L	BUILDINGS	2020	1	INR	0	USDN	157010	USDN	157010
1000	170010	10001	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	9641.88-	USDN	9641.88-
1000	160010	10002	0L	BUILDINGS	2020	1	INR	0	USDN	122220	USDN	122220
1000	170010	10002	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	7488.10-	USDN	7488.10-
1000	160010	10003	0L	BUILDINGS	2020	1	INR	0	USDN	135000	USDN	135000
1000	170010	10003	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	8325.00-	USDN	8325.00-
1000	160010	10004	0L	BUILDINGS	2020	1	INR	0	USDN	235000	USDN	235000
1000	170010	10004	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	14491.67-	USDN	14491.67-
1000	160010	10005	0L	BUILDINGS	2020	1	INR	0	USDN	156000	USDN	156000
1000	170010	10005	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	9620.00-	USDN	9620.00-
1000	160010	10006	0L	BUILDINGS	2020	1	INR	0	USDN	135000	USDN	135000
1000	170010	10006	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	8325.00-	USDN	8325.00-
1000	160010	10007	0L	BUILDINGS	2020	1	INR	0	USDN	156000	USDN	156000
1000	170010	10007	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	9620.00-	USDN	9620.00-
1000	160010	10008	0L	BUILDINGS	2020	1	INR	0	USDN	121000	USDN	121000
1000	170010	10008	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	7461.67-	USDN	7461.67-
1000	160010	10009	0L	BUILDINGS	2020	1	INR	0	USDN	135000	USDN	135000
1000	170010	10009	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	8325.00-	USDN	8325.00-
1000	160010	10010	0L	BUILDINGS	2020	1	INR	0	USDN	123000	USDN	123000
1000	170010	10010	0L	ACCUMULATED DEPRECIATION - BUILDINGS	2020	1	INR	0	USDN	7585.00-	USDN	7585.00-
1000	160020	20000	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	3000	USDN	3000
1000	170020	20000	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	925.00-	USDN	925.00-
1000	160020	20001	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	4500	USDN	4500
1000	170020	20001	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	1387.50-	USDN	1387.50-
1000	160020	20002	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	1100	USDN	1100
1000	170020	20002	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	339.17-	USDN	339.17-
1000	160020	20003	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	4500	USDN	4500
1000	170020	20003	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	1387.50-	USDN	1387.50-
1000	160020	20004	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	8000	USDN	8000
1000	170020	20004	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	2466.67-	USDN	2466.67-
1000	160020	20005	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	12000	USDN	12000
1000	170020	20005	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	3700.00-	USDN	3700.00-
1000	160020	20006	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	1300	USDN	1300
1000	170020	20006	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	400.83-	USDN	400.83-
1000	160020	20007	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	2300	USDN	2300
1000	170020	20007	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	709.17-	USDN	709.17-
1000	160020	20008	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	5600	USDN	5600
1000	170020	20008	0L	ACCUMULATED DEPRECIATION - MACHINERY	2020	1	INR	0	USDN	1726.67-	USDN	1726.67-
1000	160020	20009	0L	MACHINERY EQUIPMENT	2020	1	INR	0	USDN	5610	USDN	5610
