date	fromcurrency	tocurrency	exchangerate	typeid	customtext
4/30/2019	AED	AED	1	M	cust
4/30/2019	AED	EUR	0.01	M	cust
4/30/2019	AED	GBP	100	M	cust
4/30/2019	AED	JPY	0.3125	M	cust
30/04/2019	AED	QAR	0.98545	M	cust
4/30/2019	AED	SGD	0.01299	M	cust
4/30/2019	AED	USD	0.27174	M	cust
4/30/2019	ARS	ARS	MMM	M	cust
4/30/2019	ARS	BRL	1.951	M	cust
4/30/2019	ARS	CAD	1.496	M	cust
4/30/2019	ARS	CLP	575.28	M	cust
4/30/2019	ARS	COP	2.213	M	cust
4/30/2019	ARS	JPY	114.75	M	cust
4/30/2019	ARS	MXN	9.7	M	cust
4/30/2019	ARS	PEN	3.52	M	cust
4/30/2019	ARS	USD	3	M	cust
4/30/2019	ARS	VEB	700	M	cust
4/30/2019	ARS	VEF	0.696	M	cust
4/30/2019	AUD	AUD	1	M	cust
4/30/2019	AUD	HKD	0.05	M	cust
4/30/2019	AUD	JPY	64.15	M	cust
4/30/2019	AUD	NZD	0.8	M	cust
4/30/2019	AUD	USD	0.56	M	cust
4/30/2019	BGN	BGN	1	M	cust
4/30/2019	BGN	JPY	52.78	M	cust
4/30/2019	BGN	USD	20	M	cust
4/30/2019	BHD	BHD	1	M	cust
4/30/2019	BHD	KWD	0.74768	M	cust
4/30/2019	BRL	ARS	0.5125	M	cust
4/30/2019	BRL	BRL	1	M	cust
4/30/2019	BRL	CAD	0.767	M	cust
4/30/2019	BRL	CLP	295	M	cust
4/30/2019	BRL	COP	1.135	M	cust
4/30/2019	BRL	JPY	58.82	M	cust
4/30/2019	BRL	MXN	4.976	M	cust
4/30/2019	BRL	PEN	1.8	M	cust
4/30/2019	BRL	USD	0.51256	M	cust
4/30/2019	BRL	VEB	358.88	M	cust
4/30/2019	BRL	VEF	1.11	M	cust
4/30/2019	CAD	ARS	0.668	M	cust
4/30/2019	CAD	BRL	1.3	M	cust
4/30/2019	CAD	CAD	1	M	cust
4/30/2019	CAD	CLP	385	M	cust
4/30/2019	CAD	COP	1.48	M	cust
4/30/2019	CAD	JPY	76.7	M	cust
4/30/2019	CAD	MXN	6.5	M	cust
4/30/2019	CAD	PEN	2.35	M	cust
4/30/2019	CAD	USD	0.66845	M	cust
4/30/2019	CAD	VEB	468	M	cust
4/30/2019	CAD	VEF	2	M	cust
4/30/2019	CHF	CHF	1	M	cust
4/30/2019	CHF	DKK	4.905	M	cust
4/30/2019	CHF	EUR	0.625	M	cust
4/30/2019	CHF	GBP	0.35714	M	cust
4/30/2019	CHF	INR	69.43	M	cust
4/30/2019	CHF	JPY	71.357	M	cust
4/30/2019	CHF	NOK	5.45	M	cust
4/30/2019	CHF	SEK	5.86	M	cust
4/30/2019	CHF	USD	1.01	M	cust
4/30/2019	CLP	ARS	1.738	M	cust
4/30/2019	CLP	BRL	3.392	M	cust
4/30/2019	CLP	CAD	2.6	M	cust
4/30/2019	CLP	CLP	1	M	cust
4/30/2019	CLP	COP	3.85	M	cust
4/30/2019	CLP	JPY	20	M	cust
4/30/2019	CLP	MXN	1.68	M	cust
4/30/2019	CLP	PEN	6.118	M	cust
4/30/2019	CLP	USD	0.00174	M	cust
4/30/2019	CLP	VEB	1.217	M	cust
4/30/2019	CLP	VEF	4	M	cust
4/30/2019	CNY	CNY	1	M	cust
4/30/2019	CNY	JPY	13.86	M	cust
4/30/2019	CNY	USD	0.12077	M	cust
4/30/2019	COP	ARS	0.452	M	cust
4/30/2019	COP	BRL	0.88	M	cust
4/30/2019	COP	CAD	0.676	M	cust
4/30/2019	COP	CLP	0.26	M	cust
4/30/2019	COP	COP	1	M	cust
4/30/2019	COP	JPY	5.18	M	cust
4/30/2019	COP	PEN	1.6	M	cust
4/30/2019	COP	USD	0.45177	M	cust
4/30/2019	CSD	CSD	1	M	cust
4/30/2019	CSD	JPY	1.7124	M	cust
4/30/2019	CSD	USD	0.01592	M	cust
4/30/2019	CYP	CYP	1	M	cust
4/30/2019	CYP	JPY	187	M	cust
4/30/2019	CYP	USD	1.63052	M	cust
4/30/2019	CZK	CZK	1	M	cust
4/30/2019	CZK	JPY	3.08	M	cust
4/30/2019	CZK	USD	0.02686	M	cust
4/30/2019	DKK	CHF	0.2038	M	cust
4/30/2019	DKK	DKK	1	M	cust
4/30/2019	DKK	GBP	0.0846	M	cust
