date	fromcurrency	tocurrency	exchangerate	typeid	customtext
02/01/2020	AED	AED	1	M	cust
02/01/2020	AED	EUR	0.01000	M	cust
02/01/2020	AED	GBP	100	M	cust
02/01/2020	AED	JPY	0.31250	M	cust
02/01/2020	AED	QAR	0.98545	M	cust
02/01/2020	AED	SGD	0.01299	M	cust
02/01/2020	AED	USD	0.27174	M	cust
02/01/2020	ARS	ARS	1	M	cust
02/01/2020	ARS	BRL	1.951	M	cust
02/01/2020	ARS	CAD	1.496	M	cust
02/01/2020	ARS	CLP	575.28	M	cust
02/01/2020	ARS	COP	2.213	M	cust
02/01/2020	ARS	JPY	114.75	M	cust
02/01/2020	ARS	MXN	9.7	M	cust
02/01/2020	ARS	PEN	3.52	M	cust
02/01/2020	ARS	USD	3	M	cust
02/01/2020	ARS	VEB	700	M	cust
02/01/2020	ARS	VEF	0.696	M	cust
02/01/2020	AUD	AUD	1	M	cust
02/01/2020	AUD	HKD	0.05000	M	cust
02/01/2020	AUD	JPY	64.15	M	cust
02/01/2020	AUD	NZD	0.8	M	cust
02/01/2020	AUD	USD	0.56	M	cust
02/01/2020	BGN	BGN	1	M	cust
02/01/2020	BGN	JPY	52.78	M	cust
02/01/2020	BGN	USD	20	M	cust
02/01/2020	BHD	BHD	1	M	cust
02/01/2020	BHD	KWD	0.74768	M	cust
02/01/2020	BRL	ARS	0.5125	M	cust
02/01/2020	BRL	BRL	1	M	cust
02/01/2020	BRL	CAD	0.767	M	cust
02/01/2020	BRL	CLP	295	M	cust
02/01/2020	BRL	COP	1.135	M	cust
02/01/2020	BRL	JPY	58.82	M	cust
02/01/2020	BRL	MXN	4.976	M	cust
02/01/2020	BRL	PEN	1.8	M	cust
02/01/2020	BRL	USD	0.51256	M	cust
02/01/2020	BRL	VEB	358.88	M	cust
02/01/2020	BRL	VEF	1.11	M	cust
02/01/2020	CAD	ARS	0.668	M	cust
02/01/2020	CAD	BRL	1.3	M	cust
02/01/2020	CAD	CAD	1	M	cust
02/01/2020	CAD	CLP	385	M	cust
02/01/2020	CAD	COP	1.48	M	cust
02/01/2020	CAD	JPY	76.7	M	cust
02/01/2020	CAD	MXN	6.5	M	cust
02/01/2020	CAD	PEN	2.35	M	cust
02/01/2020	CAD	USD	0.66845	M	cust
02/01/2020	CAD	VEB	468	M	cust
02/01/2020	CAD	VEF	2	M	cust
02/01/2020	CHF	CHF	1	M	cust
02/01/2020	CHF	DKK	4.905	M	cust
02/01/2020	CHF	EUR	1.01	M	cust
02/01/2020	CHF	GBP	0.35714	M	cust
02/01/2020	CHF	INR	0.014	M	cust
02/01/2020	CHF	JPY	71.357	M	cust
02/01/2020	CHF	NOK	5.45	M	cust
02/01/2020	CHF	SEK	5.86	M	cust
