date	fromcurrency	tocurrency	exchangerate	typeid	customtext
12/31/2019	USD	NLG	2.03434	M	
12/31/2019	USD	DEM	1.80891	M	
12/31/2019	USD	FRF	6.06649	M	
12/31/2019	NLG	USD	.49156	M	
12/31/2019	DEM	USD	.55282	M	
12/31/2019	FRF	USD	.16484	M	
12/31/2019	GBP	DEM	2.78164	M	
12/31/2019	DEM	GBP	.35950	M	
12/31/2019	GBP	NLG	3.13578	M	
12/31/2019	NLG	GBP	.31890	M	
12/31/2019	GBP	FRF	9.33184	M	
12/31/2019	FRF	GBP	.10716	M	
12/31/2019	GBP	BEF	57.43825	M	
12/31/2019	BEF	GBP	.01741	M	
12/31/2019	GBP	ESP	236.74242	M	
12/31/2019	ESP	GBP	.00422	M	
12/31/2019	EUR	MXN	7.50000	M	
12/31/2019	MXN	EUR	.13333	M	
12/31/2019	TWD	EUR	.31873	M	
12/31/2019	EUR	TWD	3.13750	M	
12/31/2019	CAD	BRL	1.76087	M	
12/31/2019	BRL	CAD	.56790	M	
12/31/2019	EUR	ARS	4.55120	M	
12/31/2019	ARS	EUR	.21972	M	
12/31/2019	BHT	EUR	.02043	M	
12/31/2019	EUR	BHT	48.94870	M	
12/31/2019	EUR	BRL	2.82300	M	
12/31/2019	BRL	EUR	.35423	M	
12/31/2019	CHF	EUR	.63048	M	
12/31/2019	EUR	CHF	1.58610	M	
12/31/2019	EUR	CLP	789.92061	M	
12/31/2019	CLP	EUR	.00127	M	
12/31/2019	CNY	EUR	.10030	M	
12/31/2019	EUR	CNY	9.97000	M	
12/31/2019	COP	EUR	.00033	M	
12/31/2019	EUR	COP	3054.46104	M	
12/31/2019	CZK	EUR	.04056	M	
12/31/2019	EUR	CZK	24.65670	M	
12/31/2019	DKK	EUR	.13405	M	
12/31/2019	EUR	DKK	7.46010	M	
12/31/2019	HUF	EUR	.00413	M	
12/31/2019	EUR	HUF	241.98017	M	
12/31/2019	INR	EUR	.01472	M	
12/31/2019	EUR	INR	67.93511	M	
12/31/2019	KRW	EUR	.00058	M	
12/31/2019	EUR	KRW	1710.10329	M	
12/31/2019	EUR	NOK	8.33610	M	
12/31/2019	NOK	EUR	.11996	M	
12/31/2019	NTD	EUR	.02144	M	
12/31/2019	EUR	NTD	46.64991	M	
12/31/2019	NZD	EUR	.46762	M	
12/31/2019	EUR	NZD	2.13850	M	
12/31/2019	EUR	PLN	3.41640	M	
12/31/2019	PLN	EUR	.29271	M	
12/31/2019	SEK	EUR	.10132	M	
12/31/2019	EUR	SEK	9.87000	M	
12/31/2019	EUR	TRL	1.84710	M	
12/31/2019	TRL	EUR	.54139	M	
12/31/2019	GBP	SEK	12.44700	M	
12/31/2019	SEK	GBP	.08034	M	
12/31/2019	SGD	GBP	.39142	M	
12/31/2019	GBP	SGD	2.55480	M	
12/31/2019	EUR	RUR	36.36364	M	
12/31/2019	RUR	EUR	.02750	M	
12/31/2019	GBP	RUR	45.87156	M	
12/31/2019	RUR	GBP	.02180	M	
12/31/2019	JPY	RUR	.24308	M	
12/31/2019	RUR	JPY	4.11390	M	
12/31/2019	USD	RUR	25.51020	M	
12/31/2019	RUR	USD	.03920	M	
12/31/2019	CAD	SEK	6.43087	M	
12/31/2019	SEK	CAD	.15550	M	
12/31/2019	ARS	USD	.32005	M	
12/31/2019	USD	ARS	3.12450	M	
12/31/2019	BHT	USD	.02942	M	
12/31/2019	USD	BHT	33.98910	M	
12/31/2019	CHF	USD	.90695	M	
12/31/2019	USD	CHF	1.10260	M	
12/31/2019	CLP	USD	.00182	M	
12/31/2019	USD	CLP	549.51094	M	
12/31/2019	CNY	USD	.14199	M	
12/31/2019	USD	CNY	7.04260	M	
12/31/2019	USD	COP	2154.33668	M	
12/31/2019	COP	USD	.00046	M	
12/31/2019	CZK	USD	.05765	M	
12/31/2019	USD	CZK	17.34560	M	
12/31/2019	DKK	USD	.19037	M	
12/31/2019	USD	DKK	5.25290	M	
12/31/2019	HKD	USD	.12873	M	
12/31/2019	USD	HKD	7.76810	M	
12/31/2019	HUF	USD	.00585	M	
12/31/2019	USD	HUF	170.82103	M	
12/31/2019	USD	INR	47.62000	M	
12/31/2019	INR	USD	.02100	M	
12/31/2019	KRW	USD	.00082	M	
12/31/2019	USD	KRW	1213.94581	M	
12/31/2019	NOK	USD	.16858	M	
12/31/2019	USD	NOK	5.93190	M	
12/31/2019	NTD	USD	.03083	M	
12/31/2019	USD	NTD	32.44060	M	
12/31/2019	USD	NZD	1.49440	M	
12/31/2019	NZD	USD	.66916	M	
12/31/2019	PLN	USD	.41675	M	
12/31/2019	USD	PLN	2.39950	M	
12/31/2019	RON	USD	.37820	M	
12/31/2019	USD	RON	2.64410	M	
12/31/2019	SAR	USD	.26551	M	
12/31/2019	USD	SAR	3.76640	M	
12/31/2019	SEK	USD	.13889	M	
12/31/2019	USD	SEK	7.19990	M	
12/31/2019	THB	USD	.02932	M	
12/31/2019	USD	THB	34.10910	M	
12/31/2019	USD	TRL	1.28410	M	
12/31/2019	TRL	USD	.77876	M	
12/31/2019	USD	TWD	32.52060	M	
12/31/2019	TWD	USD	.03075	M	
12/31/2019	USD	UAH	4.99990	M	
12/31/2019	UAH	USD	.20000	M	
