date	fromcurrency	tocurrency	exchangerate	typeid	customtext	month	day	year
12/31/2019	USD	NLG	2.03434	M				
12/31/2019	USD	DEM	1.80891	M				
12/31/2019	USD	FRF	6.06649	M				
12/31/2019	NLG	USD	0.49156	M				
12/31/2019	DEM	USD	0.55282	M				
12/31/2019	FRF	USD	0.16484	M				
12/31/2019	GBP	DEM	2.78164	M				
12/31/2019	DEM	GBP	0.3595	M				
12/31/2019	GBP	NLG	3.13578	M				
12/31/2019	NLG	GBP	0.3189	M				
12/31/2019	GBP	FRF	9.33184	M				
12/31/2019	FRF	GBP	0.10716	M				
12/31/2019	GBP	BEF	57.43825	M				
12/31/2019	BEF	GBP	0.01741	M				
12/31/2019	GBP	ESP	236.74242	M				
12/31/2019	ESP	GBP	0.00422	M				
12/31/2019	EUR	MXN	7.5	M				
12/31/2019	MXN	EUR	0.13333	M				
12/31/2019	TWD	EUR	0.31873	M				
12/31/2019	EUR	TWD	3.1375	M				
12/31/2019	CAD	BRL	1.76087	M				
12/31/2019	BRL	CAD	0.5679	M				
12/31/2019	EUR	ARS	4.5512	M				
12/31/2019	ARS	EUR	0.21972	M				
12/31/2019	BHT	EUR	0.02043	M				
12/31/2019	EUR	BHT	48.9487	M				
12/31/2019	EUR	BRL	2.823	M				
12/31/2019	BRL	EUR	0.35423	M				
12/31/2019	CHF	EUR	0.63048	M				
12/31/2019	EUR	CHF	1.5861	M				
12/31/2019	EUR	CLP	789.92061	M				
12/31/2019	CLP	EUR	0.00127	M				
12/31/2019	CNY	EUR	0.1003	M				
12/31/2019	EUR	CNY	9.97	M				
12/31/2019	COP	EUR	0.00033	M				
12/31/2019	EUR	COP	3054.46104	M				
12/31/2019	CZK	EUR	0.04056	M				
12/31/2019	EUR	CZK	24.6567	M				
12/31/2019	DKK	EUR	0.13405	M				
12/31/2019	EUR	DKK	7.4601	M				
12/31/2019	HUF	EUR	0.00413	M				
12/31/2019	EUR	HUF	241.98017	M				
12/31/2019	INR	EUR	0.01472	M				
12/31/2019	EUR	INR	67.93511	M				
12/31/2019	KRW	EUR	0.00058	M				
12/31/2019	EUR	KRW	1710.10329	M				
12/31/2019	EUR	NOK	8.3361	M				
12/31/2019	NOK	EUR	0.11996	M				
12/31/2019	NTD	EUR	0.02144	M				
12/31/2019	EUR	NTD	46.64991	M				
12/31/2019	NZD	EUR	0.46762	M				
12/31/2019	EUR	NZD	2.1385	M				
12/31/2019	EUR	PLN	3.4164	M				
12/31/2019	PLN	EUR	0.29271	M				
12/31/2019	SEK	EUR	0.10132	M				
12/31/2019	EUR	SEK	9.87	M				
12/31/2019	EUR	TRL	1.8471	M				
12/31/2019	TRL	EUR	0.54139	M				
12/31/2019	GBP	SEK	12.447	M				
12/31/2019	SEK	GBP	0.08034	M				
12/31/2019	SGD	GBP	0.39142	M				
12/31/2019	GBP	SGD	2.5548	M				
12/31/2019	EUR	RUR	36.36364	M				
12/31/2019	RUR	EUR	0.0275	M				
12/31/2019	GBP	RUR	45.87156	M				
12/31/2019	RUR	GBP	0.0218	M				
12/31/2019	JPY	RUR	0.24308	M				
12/31/2019	RUR	JPY	4.1139	M				
12/31/2019	USD	RUR	25.5102	M				
12/31/2019	RUR	USD	0.0392	M				
12/31/2019	CAD	SEK	6.43087	M				
12/31/2019	SEK	CAD	0.1555	M				
12/31/2019	ARS	USD	0.32005	M				
12/31/2019	USD	ARS	3.1245	M				
12/31/2019	BHT	USD	0.02942	M				
12/31/2019	USD	BHT	33.9891	M				
12/31/2019	CHF	USD	0.90695	M				
12/31/2019	USD	CHF	1.1026	M				
12/31/2019	CLP	USD	0.00182	M				
12/31/2019	USD	CLP	549.51094	M				
12/31/2019	CNY	USD	0.14199	M				
12/31/2019	USD	CNY	7.0426	M				
12/31/2019	USD	COP	2154.33668	M				
12/31/2019	COP	USD	0.00046	M				
12/31/2019	CZK	USD	0.05765	M				
12/31/2019	USD	CZK	17.3456	M				
12/31/2019	DKK	USD	0.19037	M				
12/31/2019	USD	DKK	5.2529	M				
12/31/2019	HKD	USD	0.12873	M				
12/31/2019	USD	HKD	7.7681	M				
12/31/2019	HUF	USD	0.00585	M				
12/31/2019	USD	HUF	170.82103	M				
12/31/2019	USD	INR	47.62	M				
12/31/2019	INR	USD	0.021	M				
12/31/2019	KRW	USD	0.00082	M				
12/31/2019	USD	KRW	1213.94581	M				
12/31/2019	NOK	USD	0.16858	M				
12/31/2019	USD	NOK	5.9319	M				
12/31/2019	NTD	USD	0.03083	M				
12/31/2019	USD	NTD	32.4406	M				
12/31/2019	USD	NZD	1.4944	M				
12/31/2019	NZD	USD	0.66916	M				
12/31/2019	PLN	USD	0.41675	M				
12/31/2019	USD	PLN	2.3995	M				
12/31/2019	RON	USD	0.3782	M				
12/31/2019	USD	RON	2.6441	M				
12/31/2019	SAR	USD	0.26551	M				
12/31/2019	USD	SAR	3.7664	M				
12/31/2019	SEK	USD	0.13889	M				
12/31/2019	USD	SEK	7.1999	M				
12/31/2019	THB	USD	0.02932	M				
12/31/2019	USD	THB	34.1091	M				
12/31/2019	USD	TRL	1.2841	M				
12/31/2019	TRL	USD	0.77876	M				
12/31/2019	USD	TWD	32.5206	M				
12/31/2019	TWD	USD	0.03075	M				
12/31/2019	USD	UAH	4.9999	M				
12/31/2019	UAH	USD	0.2	M				
