companycode	account	profitcenter	businessarea	costcenter	tradingpartner	segment	ledger	accountdescription	fiscalyear	period	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt	transactioncount
0005	0000113001						0L	Bank - outg. checks	2019	11	INR	0.00	USD	-1000.00	USD	-1000.00	0
0005	0000113002						0L	Bank - transfers	2019	11	INR	0.00	USD	11000.00	USD	11000.00	0
0005	0000113002		0005				0L	Bank - transfers	2019	11	INR	0.00	USD	2999.00	USD	2999.00	0
0005	0000113003						0L	Concentration Account - ACH Out	2019	11	INR	0.00	USD	-1259.00	USD	-1259.00	0
0005	0000113004						0L	Concentration Account - ACH In	2019	11	INR	0.00	USD	-1900.00	USD	-1900.00	0
0005	0000113005						0L	Concentration Account - Check Out	2019	11	INR	0.00	USD	478.00	USD	478.00	0
0005	0000113006						0L	Concentration Account - Checks In	2019	11	INR	0.00	USD	-6378.00	USD	-6378.00	0
0005	0000113007						0L	Concentration Account - ZBA Transfers	2019	11	INR	0.00	USD	10000.00	USD	10000.00	0
0005	0000113008						0L	Concentration Account - Other Transfers	2019	11	INR	0.00	USD	-14666.00	USD	-14666.00	0
0005	0000113009						0L	Concentration Account - Treasury Transfer	2019	11	INR	0.00	USD	-6000.00	USD	-6000.00	0
0005	0000121000						0L	Customer receivables - domestic	2019	11	INR	0.00	USD	54659.00	USD	54659.00	0
0005	0000214050						0L	Guarantees Vendors	2019	11	INR	0.00	USD	-57155.00	USD	-57155.00	0
0005	0000214050		0005				0L	Guarantees Vendors	2019	11	INR	0.00	USD	-2999.00	USD	-2999.00	0
0005	0000500000						0L	Cost Of Goods Sold	2019	11	INR	0.00	USD	12221.00	USD	12221.00	0
1000	0000111000						0L	Cash Desk	2019	11	INR	0.00	USD	-248337.00	USD	-248337.00	0
1000	0000111000		1000				0L	Cash Desk	2019	11	INR	0.00	USD	-16000.00	USD	-16000.00	0
1000	0000111000	0002000100				FAN	0L	Cash Desk	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111000	0002000100	1000			FAN	0L	Cash Desk	2019	11	INR	0.00	USD	-9500.00	USD	-9500.00	0
1000	0000111000	NIT					0L	Cash Desk	2019	11	INR	0.00	USD	292600.00	USD	292600.00	0
1000	0000111000	NIT12					0L	Cash Desk	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111000	P1					0L	Cash Desk	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111000	PC001					0L	Cash Desk	2019	11	INR	0.00	USD	2750.00	USD	2750.00	0
1000	0000111000	PC002					0L	Cash Desk	2019	11	INR	0.00	USD	1500.00	USD	1500.00	0
1000	0000111000	PC003					0L	Cash Desk	2019	11	INR	0.00	USD	1800.00	USD	1800.00	0
1000	0000111100						0L	Cash	2019	11	INR	0.00	USD	27715227.87	USD	27715227.87	33
1000	0000111100		0001				0L	Cash	2019	11	INR	0.00	USD	3436.56	USD	3436.56	1
1000	0000111100		1000				0L	Cash	2019	11	INR	0.00	USD	1500.00	USD	1500.00	0
1000	0000111100	0000200010					0L	Cash	2019	11	INR	0.00	USD	-393.13	USD	-393.13	0
1000	0000111100	0002000100				FAN	0L	Cash	2019	11	INR	0.00	USD	-1126.71	USD	-1126.71	10
1000	0000111100	0002000100	0001			FAN	0L	Cash	2019	11	INR	0.00	USD	8659.00	USD	8659.00	0
1000	0000111100	0002000100	1000			FAN	0L	Cash	2019	11	INR	0.00	USD	6941.00	USD	6941.00	0
1000	0000111100	0002000120				AC	0L	Cash	2019	11	INR	0.00	USD	852.29	USD	852.29	0
1000	0000111100	AZA PRCTR					0L	Cash	2019	11	INR	0.00	USD	-257.96	USD	-257.96	0
1000	0000111100	NIT					0L	Cash	2019	11	INR	0.00	USD	-257644.21	USD	-257644.21	0
1000	0000111100	NIT12					0L	Cash	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111100	P1					0L	Cash	2019	11	INR	0.00	USD	-517.13	USD	-517.13	0
1000	0000111100	P2					0L	Cash	2019	11	INR	0.00	USD	-518.75	USD	-518.75	0
1000	0000111100	P3					0L	Cash	2019	11	INR	0.00	USD	-259.58	USD	-259.58	0
1000	0000111100	PC001					0L	Cash	2019	11	INR	0.00	USD	5081390.58	USD	5081390.58	62
1000	0000111100	PC001	0001				0L	Cash	2019	11	INR	0.00	USD	5020.00	USD	5020.00	0
1000	0000111100	PC001	1000				0L	Cash	2019	11	INR	0.00	USD	3600.00	USD	3600.00	0
1000	0000111100	PC001	1000	0001000100			0L	Cash	2019	11	INR	0.00	USD	12595.00	USD	12595.00	0
1000	0000111100	PC002					0L	Cash	2019	11	INR	0.00	USD	1505856377.21	USD	1505856377.21	62
1000	0000111100	PC002	1000				0L	Cash	2019	11	INR	0.00	USD	-2700.00	USD	-2700.00	0
1000	0000111100	PC002	1000	0001000100			0L	Cash	2019	11	INR	0.00	USD	-250.00	USD	-250.00	0
1000	0000111100	PC003					0L	Cash	2019	11	INR	0.00	USD	-44314234.98	USD	-44314234.98	62
1000	0000111100	PC003	0001				0L	Cash	2019	11	INR	0.00	USD	-3640.00	USD	-3640.00	0
1000	0000111100	PC004					0L	Cash	2019	11	INR	0.00	USD	-1302.07	USD	-1302.07	0
1000	0000111100	PC005					0L	Cash	2019	11	INR	0.00	USD	-1501.61	USD	-1501.61	0
1000	0000111100	PC006					0L	Cash	2019	11	INR	0.00	USD	-933.21	USD	-933.21	0
1000	0000111100	PC007					0L	Cash	2019	11	INR	0.00	USD	-129.59	USD	-129.59	0
1000	0000111101						0L	Bank Test	2019	11	INR	0.00	USD	191422.00	USD	191422.00	0
1000	0000111101	0002000100				FAN	0L	Bank Test	2019	11	INR	0.00	USD	196.2	USD	196.2	0
1000	0000111101	0002000100	0001			FAN	0L	Bank Test	2019	11	INR	0.00	USD	-7200.00	USD	-7200.00	0
1000	0000111101	0002000120				AC	0L	Bank Test	2019	11	INR	0.00	USD	-978.58	USD	-978.58	0
1000	0000111101	AZA PRCTR					0L	Bank Test	2019	11	INR	0.00	USD	461.2	USD	461.2	0
1000	0000111101	NIT					0L	Bank Test	2019	11	INR	0.00	USD	381842.58	USD	381842.58	0
1000	0000111101	P1					0L	Bank Test	2019	11	INR	0.00	USD	1121.99	USD	1121.99	0
1000	0000111101	P2					0L	Bank Test	2019	11	INR	0.00	USD	521.99	USD	521.99	0
1000	0000111101	P3					0L	Bank Test	2019	11	INR	0.00	USD	261.2	USD	261.2	0
1000	0000111101	PC001					0L	Bank Test	2019	11	INR	0.00	USD	10541200.65	USD	10541200.65	0
1000	0000111101	PC002					0L	Bank Test	2019	11	INR	0.00	USD	-14729411.7	USD	-14729411.7	0
1000	0000111101	PC003					0L	Bank Test	2019	11	INR	0.00	USD	4207808.5	USD	4207808.5	0
1000	0000111101	PC004					0L	Bank Test	2019	11	INR	0.00	USD	-652.39	USD	-652.39	0
1000	0000111101	PC005					0L	Bank Test	2019	11	INR	0.00	USD	652.39	USD	652.39	0
1000	0000111101	PC006					0L	Bank Test	2019	11	INR	0.00	USD	-130.4	USD	-130.4	0
1000	0000111101	PC007					0L	Bank Test	2019	11	INR	0.00	USD	130.4	USD	130.4	0
1000	0000111102						0L	Bank Clearing	2019	11	INR	0.00	USD	-27675228.54	USD	-27675228.54	202
1000	0000111102		0001				0L	Bank Clearing	2019	11	INR	0.00	USD	-3436.56	USD	-3436.56	8
1000	0000111102	0000200010					0L	Bank Clearing	2019	11	INR	0.00	USD	1393.13	USD	1393.13	0
1000	0000111102	0002000100				FAN	0L	Bank Clearing	2019	11	INR	0.00	USD	1227.74	USD	1227.74	36
1000	0000111102	0002000100	1000			FAN	0L	Bank Clearing	2019	11	INR	0.00	USD	-9150.00	USD	-9150.00	0
1000	0000111102	0002000120				AC	0L	Bank Clearing	2019	11	INR	0.00	USD	175.79	USD	175.79	20
