companycode	account	plant	ledger	accountdescription	fiscalyear	period	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	0	USD	0
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	10500	USD	10500
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	4000	USD	4000
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	24000	USD	24000
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	48000	USD	48000
1000	134000	1000	0L	Inventory - Finished Goods	2020	2	INR	0	USD	2640	USD	2640
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	0	USD	0
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	37260000	USD	37260000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	898300	USD	898300
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	34400000	USD	34400000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	145080000	USD	145080000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	40680000	USD	40680000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	1810000	USD	1810000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	336000	USD	336000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	0	USD	0
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	720000	USD	720000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	378000	USD	378000
1000	135010	1000	0L	Inventory - Miscellaneous Material	2020	2	INR	0	USD	1323000	USD	1323000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	0	USD	0
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	23400000	USD	23400000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	62300000	USD	62300000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	240000000	USD	240000000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	13200000	USD	13200000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	37740000	USD	37740000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	302400000	USD	302400000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	38080000	USD	38080000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	65650000	USD	65650000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	7600000	USD	7600000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	5760000	USD	5760000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	462000	USD	462000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	4500000	USD	4500000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	160000	USD	160000
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	0	USD	0
1000	135020	1000	0L	Inventory - Consumables	2020	2	INR	0	USD	160000	USD	160000
2000	12200	2000	0L	Basic materials stock	2020	2	INR	0	CHF	0	CHF	0
2000	12200	2000	0L	Basic materials stock	2020	2	INR	0	CHF	100	CHF	100
